Date,Traffic_Total(TB),Lower_Bound,Upper_Bound
2025-10-23,5825.721765069584,5243.1495885626255,6408.293941576543
2025-10-24,5990.365408788648,5391.328867909783,6589.401949667514
2025-10-25,5856.705630601606,5271.035067541446,6442.376193661767
2025-10-26,5894.449289438891,5305.004360495002,6483.894218382781
2025-10-27,5765.199374033036,5188.679436629733,6341.719311436341
2025-10-28,5601.440344397693,5041.296309957924,6161.584378837462
2025-10-29,5705.655190954234,5135.089671858811,6276.220710049658
2025-10-30,5682.821253654014,5114.539128288613,6251.103379019416
2025-10-31,5883.996941315704,5295.597247184134,6472.396635447275
2025-11-01,6197.5166976076725,5577.7650278469055,6817.2683673684405
2025-11-02,6022.62668814434,5420.364019329906,6624.889356958774
2025-11-03,5434.58088977337,4891.122800796033,5978.038978750707
2025-11-04,5681.682884194696,5113.514595775227,6249.851172614166
2025-11-05,5582.283016542549,5024.054714888294,6140.5113181968045
2025-11-06,5750.134002923116,5175.120602630805,6325.147403215428
2025-11-07,5843.287171628878,5258.95845446599,6427.615888791766
2025-11-08,5916.303927793198,5324.673535013879,6507.934320572519
2025-11-09,5982.674813785961,5384.407332407365,6580.942295164558
2025-11-10,5737.746025313,5163.9714227817,6311.520627844301
2025-11-11,5501.3592990458055,4951.223369141225,6051.495228950386
2025-11-12,5595.5717602388695,5036.014584214982,6155.128936262757
2025-11-13,5576.366573997373,5018.729916597636,6134.0032313971105
2025-11-14,5834.232725496065,5250.809452946458,6417.655998045671
2025-11-15,6102.709268277649,5492.438341449884,6712.980195105415
2025-11-16,5946.09727564025,5351.487548076225,6540.707003204276
2025-11-17,5474.558897097189,4927.103007387471,6022.014786806909
2025-11-18,5715.806600227074,5144.225940204367,6287.387260249782
2025-11-19,5847.435786639088,5262.692207975179,6432.179365302997
2025-11-20,5721.701502903891,5149.531352613502,6293.871653194281
2025-11-21,5712.408365615028,5141.167529053525,6283.649202176531
2025-11-22,5824.8438067894685,5242.359426110522,6407.328187468416
2025-11-23,6017.269328411873,5415.542395570686,6618.996261253061
2025-11-24,5513.135038890853,4961.821535001768,6064.448542779939
2025-11-25,5638.479343483722,5074.63140913535,6202.327277832094
2025-11-26,5671.989580756271,5104.7906226806435,6239.188538831898
2025-11-27,5478.558143493197,4930.702329143878,6026.413957842517
2025-11-28,5850.916917909905,5265.8252261189145,6436.008609700896
2025-11-29,5492.558041406212,4943.302237265591,6041.813845546834
2025-11-30,5736.234316455489,5162.61088480994,6309.857748101038
2025-12-01,5540.255644147483,4986.230079732734,6094.281208562232
2025-12-02,5426.091609274332,4883.482448346899,5968.700770201765
2025-12-03,5743.1295351696945,5168.816581652725,6317.442488686665
2025-12-04,5399.161652247218,4859.2454870224965,5939.07781747194
2025-12-05,5783.575469838467,5205.21792285462,6361.933016822314
2025-12-06,5843.392443269439,5259.053198942495,6427.731687596383
2025-12-07,5985.212331601722,5386.69109844155,6583.733564761895
2025-12-08,5385.260072754781,4846.734065479302,5923.786080030259
2025-12-09,5669.9712398914935,5102.974115902344,6236.968363880644
2025-12-10,5538.7867326788,4984.90805941092,6092.665405946681
2025-12-11,5425.600857552048,4883.040771796844,5968.160943307254
2025-12-12,5858.481947614021,5272.633752852619,6444.330142375424
2025-12-13,5825.786186846356,5243.207568161721,6408.364805530992
2025-12-14,5733.883401063339,5160.495060957005,6307.271741169673
2025-12-15,5528.288028229247,4975.459225406323,6081.1168310521725
2025-12-16,5474.649816107654,4927.184834496889,6022.11479771842
2025-12-17,5526.270267783595,4973.643241005236,6078.897294561955
2025-12-18,5583.308945104241,5024.978050593817,6141.639839614665
2025-12-19,5956.95082521675,5361.255742695075,6552.645907738425
2025-12-20,5642.437612700771,5078.193851430694,6206.681373970849
2025-12-21,6009.73668654162,5408.763017887458,6610.7103551957825
2025-12-22,5282.0797826721855,4753.871804404967,5810.2877609394045
2025-12-23,5476.58943410792,4928.930490697128,6024.248377518713
2025-12-24,5554.446360328037,4999.0017242952335,6109.890996360841
2025-12-25,5728.958549557437,5156.062694601694,6301.854404513182
2025-12-26,5959.878130763861,5363.890317687475,6555.865943840247
2025-12-27,5939.213321899282,5345.291989709354,6533.134654089211
2025-12-28,6043.531799309409,5439.178619378468,6647.88497924035
2025-12-29,5855.971759244297,5270.374583319867,6441.568935168727
2025-12-30,5700.617455711222,5130.5557101401,6270.679201282344
2025-12-31,5770.01439765985,5193.012957893865,6347.015837425835
2026-01-01,5386.83430824759,4848.150877422831,5925.51773907235
2026-01-02,5830.297225650035,5247.267503085031,6413.326948215039
2026-01-03,5762.022269994381,5185.820042994943,6338.224496993819
2026-01-04,5813.5455928073725,5232.191033526636,6394.90015208811
2026-01-05,5517.49271678389,4965.7434451055005,6069.241988462279
